timestamp,token_name,mint_address,reason,buy_price,sell_price
2025-07-18 11:14:40,草台班,REzz5dENSPe62DpCZ7NHwxijW8RAHWNuSuyPZZcpump,No buy signal timeout,,0.000258700,,
2025-07-18 11:29:05,Bonercoin,9dSSgivJCWXizncGy9d8pBfDTTnCT4gdgZw2Q5jcbonk,Take profit,0.000045190,0.000049140,8.74%,PROFIT
2025-07-18 11:33:38,First Baby Unicorn,3m8XvVXEsoTGuhQut1KLr7C8KLLcLsLEXej2fBFLbonk,Stop loss,0.000058280,0.000056990,-2.21%,LOSS
2025-07-18 11:41:33,Japanese Pepe,7Fpps8uivN4fwKrAxMidQ4gZYrG2yv4WRqUKamEdbonk,No buy signal timeout,,0.000042790,,
2025-07-18 11:56:21,Success Oriented Lunatics,6QczdaGuWUPuGxo9vsJWCdRLwbUaQesnERmsgZunbonk,No buy signal timeout,,0.000032830,,
2025-07-18 11:59:23,UNKNOWN,5ed6JX7SiGn7k3dPLKA5AedVzkBUFMREeLjxiuFrhSHt,No buy signal timeout,,0.000012400,,
2025-07-18 12:12:50,ᅠᅠ,8vUMf7qEThPQVctatG2c66rycPBo5KbjxLQYc8Mobonk,No buy signal timeout,,0.000049980,,
2025-07-18 12:15:53,草台班子,UF5hbxVXWsKTMjQqqEBJ1UHfvuVzR74BYTmz9Hdpump,No buy signal timeout,,0.000156400,,
2025-07-18 12:35:50,UNKNOWN,5ed6JX7SiGn7k3dPLKA5AedVzkBUFMREeLjxiuFrhSHt,No buy signal timeout,,0.000009665,,
2025-07-18 13:11:56,Eva AI Companion,EkiZFKi1xYwdWukkhoUmDUWDU6M8bujakCC7P3Nebonk,Stop loss,0.000111200,0.000107300,-3.51%,LOSS
2025-07-18 14:30:06,(s)token,HMqc3Rco1SNAVNLj13jKJBYCfngpQc4cNvNBd37hbonk,Stop loss,0.000022180,0.000021430,-3.38%,LOSS
