Address,Name,Price USD,Liquidity(1m),Volume(1m),1m Change,Open Chart,Snipe,Ghost Buyer,Global_Cluster_Percentage,DexScreener_Pair_Address,DexScreener_Liquidity_USD,DexScreener_Token_Price_USD,DexScreener_Token_Name,LP_Percent_Supply,Cluster_Token_Amount_Est,Pool_Project_Token_Amount_Est,Dump_Risk_LP_vs_Cluster_Ratio,Price_Impact_Cluster_Sell_Percent,Overall_Risk_Status,Risk_Warning_Details
A5dNBUsFhG6z4rY2EnjE3wM3QYaKNn6QmkQT8C3ibonk,how this coin looks at me,0.00004006,22445.40,2379.29,0.00,"=HYPERLINK(""https://dexscreener.com/solana/A5dNBUsFhG6z4rY2EnjE3wM3QYaKNn6QmkQT8C3ibonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
EKT4EngipH1fUygKADKLoUNVRkmzRQhE8S2tSxAAbonk,Trillion Dollar Coin,0.00018290,49944.81,406.20,8.80,"=HYPERLINK(""https://dexscreener.com/solana/EKT4EngipH1fUygKADKLoUNVRkmzRQhE8S2tSxAAbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
7izye8rPLAaHZnr7QVAdyLxDz9j5MhBhqMUrbsDCbonk,Bitcoin dominance coin,0.00005895,26797.04,5127.34,0.00,"=HYPERLINK(""https://dexscreener.com/solana/7izye8rPLAaHZnr7QVAdyLxDz9j5MhBhqMUrbsDCbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
GYnxKDFJPwzm3eSfVuX1VdpjXn72KHHb3xZwZ3yBbonk,#1 Animal on YT,0.00012560,40489.72,5612.16,0.00,"=HYPERLINK(""https://dexscreener.com/solana/GYnxKDFJPwzm3eSfVuX1VdpjXn72KHHb3xZwZ3yBbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
FxiYhzR5wJ98McAHA41NudgJhkrWpjWLRE7NSqXobonk,dump,0.00013880,42175.40,97611.00,0.00,"=HYPERLINK(""https://dexscreener.com/solana/FxiYhzR5wJ98McAHA41NudgJhkrWpjWLRE7NSqXobonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
BEtdhopjdjgGtuMnY9zgA2ttDgNWu11kbiacsNUEK5Gz,Solbetz,0.00216700,26551.88,2730.06,0.00,"=HYPERLINK(""https://dexscreener.com/solana/BEtdhopjdjgGtuMnY9zgA2ttDgNWu11kbiacsNUEK5Gz"",""Open Chart"")",Yes,,12.29,ARf5VseKVnCYFRvqHw35T2i6JPTEr5W8gSmeAfBqTxDF,26168.24,0.00210200,Solbetz,0.6225,122900000.00,6224605.14,19.74,95.18,High Risk,HighCluster(12.3% >= 5.0%); HighDumpRisk(19.7x >= 0.1x); HighPriceImpact(95.2% >= 35.7%)
9qzRzhG32tE8FobG4eTrgXDGpQEpJ8Ckmzw9YWoibonk,Bonk Frog,0.00013340,41554.09,495.26,0.00,"=HYPERLINK(""https://dexscreener.com/solana/9qzRzhG32tE8FobG4eTrgXDGpQEpJ8Ckmzw9YWoibonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
WC7Awj7NppEf2YjonhexE71UNrzK5aBZnDR1MVmpump,Giant PUMP,0.00074080,101204.58,2801.69,0.00,"=HYPERLINK(""https://dexscreener.com/solana/WC7Awj7NppEf2YjonhexE71UNrzK5aBZnDR1MVmpump"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
2gL4ocFkoMcKH88LA5ZnrxAA3ffNd9Rcpanyv1R2bonk,"Bigger, longer and uncut",0.00011160,38540.70,75934.62,0.00,"=HYPERLINK(""https://dexscreener.com/solana/2gL4ocFkoMcKH88LA5ZnrxAA3ffNd9Rcpanyv1R2bonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
35QVjpEAbZWQvzuK33bRDKSophRQjERe3kSXV2rbpump,CrimeCoin,0.00012790,39137.52,384.52,3.23,"=HYPERLINK(""https://dexscreener.com/solana/35QVjpEAbZWQvzuK33bRDKSophRQjERe3kSXV2rbpump"",""Open Chart"")",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
