Window_Minutes,Category,Token_Address,Token_Name,DexScreener_URL
1,whale,CZQnHH2FHrDyaoh8jRkUmYKhFxXg2dFmWUFELbavbonk,retard to retired,https://dexscreener.com/solana/CZQnHH2FHrDyaoh8jRkUmYKhFxXg2dFmWUFELbavbonk
1,whale,EPFHsGA28YsTqDFTDHDPVRzjcqP1e3zDBhnBQGtppump,Never Dump Agreement,https://dexscreener.com/solana/EPFHsGA28YsTqDFTDHDPVRzjcqP1e3zDBhnBQGtppump
1,whale,DLehJ1mGvhq3GCwr3zZMzPxNwutK7bY1DsW9xPbpump,You're Out,https://dexscreener.com/solana/DLehJ1mGvhq3GCwr3zZMzPxNwutK7bY1DsW9xPbpump
1,whale,BfGSxwFn87f3EDmfachriif8ZEaP5oqgA23u6HMxpump,not. good.,https://dexscreener.com/solana/BfGSxwFn87f3EDmfachriif8ZEaP5oqgA23u6HMxpump
1,whale,8mznFjdcGHhfvxkP1JVC7Ttn2gQJzNWmU8Zuw8cipump,OK BUDDY,https://dexscreener.com/solana/8mznFjdcGHhfvxkP1JVC7Ttn2gQJzNWmU8Zuw8cipump
1,whale,GH2rnaLDnkqGAuDyCDAASAVQWUU29rQRzv3LpV1kbonk,oke,https://dexscreener.com/solana/GH2rnaLDnkqGAuDyCDAASAVQWUU29rQRzv3LpV1kbonk
1,whale,8TpBFh6Y1GdwPCwcbSHpDz75ZxpvjphULrtnbNsbpump,GOODTEK,https://dexscreener.com/solana/8TpBFh6Y1GdwPCwcbSHpDz75ZxpvjphULrtnbNsbpump
1,whale,6JfSL6ARbD3HZREPcW4awJHxqMP839RLKCemztoypump,I'm Rich Suddenly,https://dexscreener.com/solana/6JfSL6ARbD3HZREPcW4awJHxqMP839RLKCemztoypump
1,snipe,EPFHsGA28YsTqDFTDHDPVRzjcqP1e3zDBhnBQGtppump,Never Dump Agreement,https://dexscreener.com/solana/EPFHsGA28YsTqDFTDHDPVRzjcqP1e3zDBhnBQGtppump
1,snipe,8TpBFh6Y1GdwPCwcbSHpDz75ZxpvjphULrtnbNsbpump,GOODTEK,https://dexscreener.com/solana/8TpBFh6Y1GdwPCwcbSHpDz75ZxpvjphULrtnbNsbpump
