timestamp,token_name,mint_address,reason,buy_price,sell_price,percent,result,buy_flag,sell_flag,buys,sells,Name,Price USD,Liquidity(1m),Volume(1m),1m Change,Open Chart,Snipe,Ghost Buyer,Global_Cluster_Percentage,Highest_Risk_Reason_Cluster,DexScreener_Pair_Address,DexScreener_Liquidity_USD,DexScreener_Token_Price_USD,DexScreener_Token_Name,LP_Percent_Supply,Cluster_Token_Amount_Est,Pool_Project_Token_Amount_Est,Dump_Risk_LP_vs_Cluster_Ratio,Price_Impact_Cluster_Sell_Percent,Overall_Risk_Status,Risk_Warning_Details,percent_value,dump_detected,holders,price_impact
2025-06-22 15:17:38,Just an Oil Guy,7WAFfQAEaB4Gpp4xRvbjHmS6mLPSdJjtTB3NTiLdpump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 15:29:49,Unknown,RZfxUt3z4udqmmDaheDYe2foMTS9YXExcguB3SUpump,Take profit,0.0002302,0.0002538,10.25%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,10.25,False,,
2025-06-22 15:35:56,Strait of Hormuz,ARTTa5WqQsaWDVGh7QkG2nVmc5mt5HAivGeyr2UZpump,Take profit,7.309e-05,8.048e-05,10.11%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,10.11,False,,
2025-06-22 15:38:52,the only thing green rn,94tftb34k6G3iQjMJQFNK99QGsiKLjX2ANEcTXW3pump,Stop loss,8.744e-05,7.869e-05,-10.01%,LOSS,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,-10.01,False,,
2025-06-22 15:40:08,All Israel Politics Are Covere,B8Vnd36it6SDkuQ7KLYQ1Uhyh1JC3Z5MkJ9A9Kx4pump,Take profit,3.988e-05,4.836e-05,21.26%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,21.26,False,,
2025-06-22 15:44:36,The Backroom Nuke,5rPdp2TPnSo95XN2k2R8VonkiuUZSDd4WG9J17Mmpump,Take profit,0.0001388,0.0001571,13.18%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,13.18,False,,
2025-06-22 15:47:41,All Israel Politics Are Covere,B8Vnd36it6SDkuQ7KLYQ1Uhyh1JC3Z5MkJ9A9Kx4pump,No buy signal timeout,,,,,False,False,1,1,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 16:10:00,SHIBY,8ZzinqLhAhywPd7vaZw8v9iNrmwV7JYGYPA2Cjfepump,Stop loss,7.289e-05,6.822e-05,-6.41%,LOSS,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,-6.41,False,,
2025-06-22 16:12:41,the only thing green rn,94tftb34k6G3iQjMJQFNK99QGsiKLjX2ANEcTXW3pump,Take profit,3.885e-05,4.559e-05,17.35%,PROFIT,True,True,2,2,,,,,,,,,,,,,,,,,,,,,,17.35,False,,
2025-06-22 16:15:46,Just an Oil Guy,7WAFfQAEaB4Gpp4xRvbjHmS6mLPSdJjtTB3NTiLdpump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 16:30:31,werld pweace,68CvK58huXy2moy7Tb4ihARkPk8KPiz3YZwq768Qpump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 16:43:09,Bunkercoin,9AeBphkGfF5e5ipZdMp9aX6q2Wnhzua1AdMVJ3sKpump,Stop loss,0.0001045,8.383e-05,-19.78%,LOSS,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,-19.78,False,,
2025-06-22 16:50:28,Bitcoil,68bdbmCFcBDs3uuetizSzwkR5u8UwXAAPi5LRh1apump,Stop loss,6.45e-05,5.837e-05,-9.50%,LOSS,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,-9.5,False,,
2025-06-22 19:26:29,the last toy,6AXFqRFS6d3jfu3rPsKm8CBLuvbHZVXaKWDurSX7pump,Take profit,0.0001153,0.0001348,16.91%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,16.91,False,,
2025-07-05 20:06:35,Unknown,EhSHK5ou95CUcQG1R8pjxDBRyd5jzfaxpCsJE549pump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-07-05 20:13:34,JUST GROK IT!,3mxwZdzHQ2u984rorsuR5ZJyTzrCVGo5Ryx3YcTNSVy8,Stop loss,0.0002232,0.0002102,-5.82%,LOSS,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,-5.82,False,,
2025-07-05 20:27:14,The Pump Prophecy,BjLKXXWMNkJKwYkWfvHBcaTcZnD2VRtMTR1oEVzUpump,No buy signal timeout,,,,,False,False,0,0,The Pump Prophecy,4.113e-05,20665.19,18469.97,23.81,"=HYPERLINK(""https://dexscreener.com/solana/BjLKXXWMNkJKwYkWfvHBcaTcZnD2VRtMTR1oEVzUpump"",""Open Chart"")",,Yes,27.16,,PTJyA9KdD9Wgy2pvpmp46ZjauRFkNnZ1Fg32Ps3rQHZ,19354.29,3.604e-05,The Pump Prophecy,26.8511,271600000.0,268511237.51,101.15,75.29,High Risk,HighCluster(27.2% >= 10.0%); HighDumpRisk(101.2x >= 25.0x); HighPriceImpact(75.3% >= 30.0%),,False,271600000.0,75.29
