Window_Minutes,Category,Token_Address,Token_Name,DexScreener_URL
1,whale,2nPwBBjYRHg1WcztgrFszCsRt8cAsQGe2afuF2T9bonk,뽀로로,https://dexscreener.com/solana/2nPwBBjYRHg1WcztgrFszCsRt8cAsQGe2afuF2T9bonk
1,whale,6okFjNSzdCsZYGbntkmNRJ7md19e2TqbxR7aHuGtbonk,Nudaeng,https://dexscreener.com/solana/6okFjNSzdCsZYGbntkmNRJ7md19e2TqbxR7aHuGtbonk
1,whale,6L44XFFqEuRA67vfzmCooACN97eDk57Ab8ycwrZJbonk,Anti Useless Coin,https://dexscreener.com/solana/6L44XFFqEuRA67vfzmCooACN97eDk57Ab8ycwrZJbonk
1,whale,3zH17RMqp3513gfLTKiq9VL8zsLMPCXv8oApkzLTbonk,kpop,https://dexscreener.com/solana/3zH17RMqp3513gfLTKiq9VL8zsLMPCXv8oApkzLTbonk
1,whale,6c12RE77u5w1Ps16tFWBCZ8FAhY9JmZTToPs2Rcrbonk,Gato the dancing cat,https://dexscreener.com/solana/6c12RE77u5w1Ps16tFWBCZ8FAhY9JmZTToPs2Rcrbonk
1,snipe,2nPwBBjYRHg1WcztgrFszCsRt8cAsQGe2afuF2T9bonk,뽀로로,https://dexscreener.com/solana/2nPwBBjYRHg1WcztgrFszCsRt8cAsQGe2afuF2T9bonk
1,snipe,6okFjNSzdCsZYGbntkmNRJ7md19e2TqbxR7aHuGtbonk,Nudaeng,https://dexscreener.com/solana/6okFjNSzdCsZYGbntkmNRJ7md19e2TqbxR7aHuGtbonk
1,ghost,6okFjNSzdCsZYGbntkmNRJ7md19e2TqbxR7aHuGtbonk,Nudaeng,https://dexscreener.com/solana/6okFjNSzdCsZYGbntkmNRJ7md19e2TqbxR7aHuGtbonk
1,ghost,6L44XFFqEuRA67vfzmCooACN97eDk57Ab8ycwrZJbonk,Anti Useless Coin,https://dexscreener.com/solana/6L44XFFqEuRA67vfzmCooACN97eDk57Ab8ycwrZJbonk
